"","ID","Iden","Region","Population","Block","Treatment","flowers_pollinated","fruit_count","style_length_1","style_length_2","style_length_3","stamen_length_1","stamen_length_2","stamen_length_3","ovule_number_1","ovule_number_2","ovule_number_3","fruit_mass_1","fruit_mass_2","fruit_mass_3","viable_seed_1","viable_seed_2","viable_seed_3","aborted_seed_1","aborted_seed_2","aborted_seed_3","unfertilized_ovules_1","unfertilized_ovules_2","unfertilized_ovules_3","PD_mean","PD_median","PD_sd","PD_se","PD_max","PD_min","number","no_tubes","tubes","total_grains","Pictures","Germ.Tmin","Germ.Tmax","PTGR.Tmin","PTGR.Tmax","HCMS","CCMS","HCHPL","CCHPL","HPS","CPS"
"58","FR11","FR11B","North","FR","B","Control",3,3,11,11.5,11.8,6.1,6.6,7,112,110,137,NA,NA,NA,56,15,20,2,0,0,0,4,28,2.092396462,2.128076608,0.209730263,0.018834334,2.411075414,1.412559154,11,55,273,328,1,NA,NA,NA,NA,0.763022812,0.543857579,0.52416878,0.703934513,0.928571429,0.523529412
"59","FR11","FR11C","North","FR","C","Heat",NA,NA,9.8,10,10,6.1,6,6.1,142,187,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.866786776,1.827780387,0.255386801,0.020003438,2.528368406,0.792143674,11,26,76,102,1,10.008,41.629,10.47,42.325,0.640742173,0.456766831,0.298102036,0.782849571,0.482183908,0.723214286
"60","FR11","FR11D","North","FR","D","Control",NA,NA,12.3,12.2,12,8,7.5,7.1,146,147,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.385748673,2.394783528,0.150040705,0.011936598,2.783636807,1.833660955,11,181,386,567,1,NA,NA,NA,NA,0.559279056,0.77809167,0.429118774,0.788519867,0.368421053,0.413385827
"61","FR12","FR12A","North","FR","A","Control",3,3,9.1,11,9.2,6.6,5.2,5.8,104,106,116,NA,NA,NA,8,30,49,0,1,2,72,46,25,2.301777199,2.300747849,0.127109177,0.011652079,2.519270004,1.895391088,12,85,299,384,1,8.442,48.521,9.896,42.639,0.671459487,0.494859172,0.315730337,0.700138819,0.491646778,0.892601432
"62","FR12","FR12B","North","FR","B","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","FR12","FR12C","North","FR","C","Control",NA,NA,11.3,11.2,NA,8,7.9,NA,173,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.450698066,2.458343338,0.101001781,0.009904039,2.669464262,2.123530188,12,121,307,428,1,NA,NA,NA,NA,0.729333898,0.445212777,0.528795504,0.722904508,NA,NA
"64","FR12","FR12D","North","FR","D","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654880868,0.754033946,0.536214741,0.754168062,0.64137931,0.494535519
"65","FR2","FR2A","North","FR","A","Heat",3,3,11.9,10.6,12,5.2,5,5.9,72,96,118,NA,NA,NA,55,35,55,4,0,0,4,9,0,1.921819997,1.926875667,0.317574637,0.025843857,2.673153758,0.976900208,2,47,106,153,2,1.182,51.242,9.372,41.503,0.790364557,0.545622539,0.326666667,0.727596049,NA,0.685106383
"66","FR2","FR2B","North","FR","B","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.869979086,0.523871269,0.463389702,0.957761232,NA,0.77245509
"67","FR2","FR2C","North","FR","C","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850026589,0.469259558,0.83124255,0.71508478,0.788135593,0.657657658
"68","FR2","FR2D","North","FR","D","Control",NA,NA,12.5,12.8,13,7.2,7.5,7.2,147,148,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3397261,2.355247655,0.09593382,0.008721256,2.571660884,2.042078483,2,111,399,510,1,NA,NA,NA,NA,0.869122074,0.490877912,0.637691571,0.766631806,0.60952381,0.242857143
"69","FR6","FR6A","North","FR","A","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62335598,0.544635752,0.46241829,0.710144928,NA,0.662222222
"70","FR6","FR6B","North","FR","B","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.779289394,0.620542565,0.354379109,0.771341089,0.405405405,0.708571429
"71","FR6","FR6C","North","FR","C","Control",NA,NA,12.1,12,12.1,8,6.5,6.7,103,125,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.197578374,2.199726365,0.126819343,0.012556986,2.507184874,1.869051526,6,18,82,100,1,NA,NA,NA,NA,0.892920533,0.485240847,0.519655525,0.906586271,NA,0.658415842
