ID,Iden,location,population,ramet,Germ.Tmin,Germ.Tmax,PTGR.Tmin,PTGR.Tmax,HCMS,CCMS,HCHPL,CCHPL,HPS,CPS
PI21,PI21D,North,PI,D,NA,NA,NA,NA,0.865049,0.397498005,0.447140154,0.790062654,0.660130719,0.282971014
PI25,PI25A,North,PI,A,NA,NA,NA,NA,0.959206273,0.452834133,0.552627177,0.837606838,NA,0.559566787
PI25,PI25B,North,PI,B,NA,NA,NA,NA,0.873406689,0.466450848,0.547582852,0.728242289,NA,NA
PI25,PI25C,North,PI,C,NA,NA,NA,NA,0.512574467,0.567042993,0.293329228,0.747773254,0.202803738,0.2375
PI25,PI25D,North,PI,D,NA,NA,NA,NA,0.85626991,0.450066127,0.319764455,0.783838331,0.271578947,0.669527897
PI27,PI27A,North,PI,A,NA,NA,NA,NA,0.950471615,0.500575061,0.821173469,0.83902746,NA,NA
PI27,PI27B,North,PI,B,NA,NA,NA,NA,0.42403558,0.464316693,0.339991979,0.614284777,NA,NA
PI27,PI27C,North,PI,C,NA,NA,NA,NA,0.847169836,0.510329083,0.339164113,0.72392245,0.760330579,0.225848564
PI27,PI27D,North,PI,D,NA,NA,NA,NA,0.663398691,0.606917015,0.498631657,0.797439607,0.996389892,0.824104235
PI28,PI28A,North,PI,A,8.726,50.167,10.244,42.022,0.958188427,0.619204901,0.427545133,0.768820126,0.585889571,0.883544304
PI28,PI28B,North,PI,B,NA,NA,NA,NA,0.441052312,0.539469929,0.836097406,0.778581596,0.4375,0.685840708
PI28,PI28C,North,PI,C,9.131,46.5,9.404,40.733,0.911329482,0.438868419,0.375771089,0.624647295,NA,0.231292517
PI28,PI28D,North,PI,D,9.802,47.52,9.94,42.146,0.871619641,0.466107109,0.471737914,0.844848524,0.721212121,0.331451613
PI3,PI3A,North,PI,A,NA,NA,NA,NA,0.326460743,0.538187121,0.64614052,0.816239675,0.552,0.352941176
PI3,PI3B,North,PI,B,NA,NA,NA,NA,0.626073196,0.485246384,0.680231788,0.730099248,0.295338983,0.040670391
PI3,PI3C,North,PI,C,8.936,49.063,9.921,40.99,0.676485227,0.423360272,0.376923077,0.769894744,0.436792453,0.394117647
PI3,PI3D,North,PI,D,7.298,54.819,9.987,41.94,0.567679656,0.386878384,0.336276567,0.321900482,0.66,0.040670391
PI30,PI30A,North,PI,A,NA,NA,NA,NA,0.982889169,0.441394808,0.602522021,0.851964835,NA,0.578680203
PI30,PI30B,North,PI,B,9.037,51.815,10.149,41.953,0.906814171,0.50168032,0.387634115,0.617460317,0.301363636,0.261607143
PI30,PI30C,North,PI,C,NA,NA,NA,NA,0.859739439,0.478894821,0.78044522,0.675950006,NA,NA
PI30,PI30D,North,PI,D,NA,NA,NA,NA,0.861505569,0.428073012,0.555539613,0.703274244,NA,0.379603399
PI4,PI4A,North,PI,A,8.985,58.695,10.355,42.301,0.918450088,0.582014584,0.265536621,0.748638861,NA,0.698895028
PI4,PI4B,North,PI,B,NA,NA,NA,NA,0.764314126,0.522053953,0.302882999,0.458204237,NA,NA
PI4,PI4C,North,PI,C,NA,NA,NA,NA,0.804060167,0.4551398,0.296816768,0.785201149,0.205357143,0.890756303
PI4,PI4D,North,PI,D,8.198,47.083,9.823,41.148,0.842008113,0.453328251,0.38617332,0.77184238,0.571428571,0.137694704
PI5,PI5A,North,PI,A,NA,NA,NA,NA,0.769213716,0.630463512,0.513016994,0.745148377,NA,0.236330935
PI5,PI5B,North,PI,B,NA,NA,NA,NA,0.406014509,0.473817011,0.345607553,0.698255366,0.624338624,0.397923875
PI5,PI5C,North,PI,C,NA,NA,NA,NA,0.803958428,0.483023833,0.31498834,0.764993536,0.894321767,0.448863636
PI5,PI5D,North,PI,D,NA,NA,NA,NA,0.676686687,0.444751131,0.449020165,0.747867235,0.692230071,0.66
PI9,PI9A,North,PI,A,NA,NA,NA,NA,0.902590176,0.625896524,0.228470437,0.888818136,NA,NA
PI9,PI9B,North,PI,B,8.523,49.082,9.608,41.239,0.884895917,0.484399077,0.604926625,0.752936461,NA,NA
PI9,PI9C,North,PI,C,8.914,51.585,9.992,42.041,0.631314022,0.4592348,0.530380259,0.8260695,0.616891892,0.797297297
PI9,PI9D,North,PI,D,NA,NA,NA,NA,0.634229528,0.458679423,0.840106007,0.833827261,NA,NA
