ID,Iden,Region,Population,Treatment,Block,Number,style_length,stamen_length,ovule_number,mass,viable_seed,aborted_seed,unfertilized
OP9,OP9D,South,OP,Heat,D,2,10.8,7.2,141,,,,
OP9,OP9D,South,OP,Heat,D,3,9.5,6.9,98,,,,
PI10,PI10A,North,PI,Control,A,1,,,,,,,
PI10,PI10A,North,PI,Control,A,2,,,,,,,
PI10,PI10A,North,PI,Control,A,3,,,,,,,
PI10,PI10B,North,PI,Heat,B,1,8.6,6.3,93,,2,0,61
PI10,PI10B,North,PI,Heat,B,2,10.3,6.9,108,,,,
PI10,PI10B,North,PI,Heat,B,3,10.7,7,100,,,,
PI10,PI10C,North,PI,Control,C,1,12.3,7.9,127,,,,
PI10,PI10C,North,PI,Control,C,2,12.8,8,105,,,,
PI10,PI10C,North,PI,Control,C,3,11.1,7.6,108,,,,
PI10,PI10D,North,PI,Heat,D,1,,,,,,,
PI10,PI10D,North,PI,Heat,D,2,,,,,,,
PI10,PI10D,North,PI,Heat,D,3,,,,,,,
PI11,PI11A,North,PI,Control,A,1,12.8,8.8,94,,17,0,70
PI11,PI11A,North,PI,Control,A,2,13.8,8.6,64,,12,0,61
PI11,PI11A,North,PI,Control,A,3,13.3,8.6,70,,,,
PI11,PI11B,North,PI,Heat,B,1,,,,,,,
PI11,PI11B,North,PI,Heat,B,2,,,,,,,
PI11,PI11B,North,PI,Heat,B,3,,,,,,,
PI11,PI11C,North,PI,Control,C,1,11.6,7.9,95,,,,
PI11,PI11C,North,PI,Control,C,2,,,,,,,
PI11,PI11C,North,PI,Control,C,3,,,,,,,
PI11,PI11D,North,PI,Heat,D,1,10.1,7,104,0.759,18,2,26
PI11,PI11D,North,PI,Heat,D,2,9.6,6.5,94,0.39,56,3,20
PI11,PI11D,North,PI,Heat,D,3,9.9,6.5,116,0.95,32,6,16
PI12,PI12A,North,PI,Heat,A,1,10.7,7.1,96,,,,
PI12,PI12A,North,PI,Heat,A,2,10,7,105,,,,
PI12,PI12A,North,PI,Heat,A,3,10.9,7,70,,,,
PI12,PI12B,North,PI,Control,B,1,11.9,7.3,114,,9,0,36
PI12,PI12B,North,PI,Control,B,2,12,7.2,100,,12,0,47
PI12,PI12B,North,PI,Control,B,3,12.2,7,104,,,,
PI12,PI12C,North,PI,Heat,C,1,10,6.4,110,0.922,24,3,45
PI12,PI12C,North,PI,Heat,C,2,10.6,7.1,91,0.989,24,2,55
PI12,PI12C,North,PI,Heat,C,3,10.5,7,123,1.31,35,8,25
